Year,C02039V02469,Area_under_Crops_Hectares,Crop_Yield_per_Hectare_in_Tonnes,crop_production_in_Tonnes,crop__Fodder beet,crop__Kale and field cabbage,crop__Oilseed rape,crop__Potatoes,crop__Spring barley,crop__Spring oats,crop__Spring wheat,crop__Sugar beet,crop__Total barley,crop__Total oats,crop__Total wheat,"crop__Total wheat, oats and barley",crop__Turnips,crop__Winter barley,crop__Winter oats,crop__Winter wheat
2012,1,314.5,6.8,2125.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012,11,98.0,7.2,707.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,111,84.6,7.4,625.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,112,13.5,6.1,82.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012,12,23.7,6.6,156.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012,121,9.9,6.9,68.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,122,13.8,6.4,88.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012,13,192.8,6.5,1260.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012,131,41.0,7.8,319.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012,132,151.8,6.2,940.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012,2,4.1,4.8,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,3,17.5,3.2,58.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,4,9.0,25.8,232.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,306.7,7.8,2400.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013,11,60.6,9.0,545.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,111,45.4,9.3,422.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,112,15.2,8.1,123.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2013,12,26.7,7.2,192.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013,121,5.4,8.1,43.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,122,21.3,7.0,149.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013,13,219.4,7.6,1662.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013,131,36.0,9.5,341.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013,132,183.5,7.2,1320.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,2,4.5,5.2,23.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,13.7,3.6,49.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,4,10.7,38.2,410.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,305.9,8.5,2597.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
